street	year	floor	area	date	amount
Октябрьская	1974	1	34.6	2025-10-01	600000.0
Заозерная	1972	9	45.6	2025-10-01	4100000.0
Лаптева			720.7999999999998	2025-10-01	117645900
Кордная 5-я	1962	4	205.2	2025-10-01	1060000.0
Глинки	1968	4	30.8	2025-10-01	2750000.0
Карла Маркса	1957	3	61.7	2025-10-01	3500000.0
Ватутина	2004	3	90.80000000000001	2025-10-01	11100000.0
Лесная	1975	1	40.4	2025-10-01	70000.0
Амурский 1-й	2018	10	73.2	2025-10-01	4900000.0
70 лет Октября	2025	1	39.8	2025-10-01	5250000.0
Леонида Маслова	2024	13	145.5	2025-10-01	18300000.0
Бульварная		8	16.9	2025-10-01	1590000.0
Малиновского	2024	9	38	2025-10-01	3000000.0
Мира	1973	4	30.8	2025-10-01	2600000.0
Б.Г.Шаронова	2025	6	63.6	2025-10-01	7500000.0
Дмитриева	1984	4	71.1	2025-10-01	6525000.0
Бородина	1974	5	29.3	2025-10-01	3000000.0
Волочаевская	1972	8	46.7	2025-10-01	5920000.0
Суровцева	1989	9	32.7	2025-10-01	2990000.0
2-я Поселковая	2012	8	33.3	2025-10-01	3635000.0
Дмитриева	1986	5	47.5	2025-10-01	4500000.0
Машиностроительная	1995	4	38.7	2025-10-01	3150000.0
Коммунистическая	1968	1	40.6	2025-10-01	3000000.0
Энергетиков	1981	8	53.1	2025-10-01	5050000.0
1-я Железнодорожная	1988	1	40	2025-10-01	3600000.0
Иркутская	1994	6	71.5	2025-10-01	7650000.0
Комсомольская	1981	2	36.5	2025-10-01	912162.09
А	1970	1	61.3	2025-10-01	3700000.0
Железнодорожная 3-я	2003	2	33.8	2025-10-01	3600000.0
Маяковского	2008	8	117	2025-10-01	11350000.0
Крупской	2006	7	126.8	2025-10-01	14700000.0
Менделеева	1988	1	103.1	2025-10-01	9449469.0
Дмитриева	1994	4	50	2025-10-01	6100000.0
Карпинского	1981	1	44.7	2025-10-01	3800000.0
Энтузиастов	1969	6	32.1	2025-10-01	3800000.0
Ленинградская 2-я	1984	2	43.7	2025-10-01	3420000.0
Яковлева	1972	3	88.1	2025-10-01	9795000.0
Карла Маркса	2007	6	52.8	2025-10-01	8900000.0
Заозерная	1970	1	20.7	2025-10-01	2150000.0
Энтузиастов	1967	5	159.3	2025-10-01	12690000.0
Ленина	1952	2	76.1	2025-10-01	9000000.0
Волочаевская	1960	4	44.5	2025-10-01	4980000.0
Рокоссовского	1982	9	63.3	2025-10-01	6400000.0
Бархатовой	1974	2	31.7	2025-10-01	1200000.0
Бородина	1974	4	30.1	2025-10-01	2950000.0
Крупской	2015	2	68.2	2025-10-01	8000000.0
Космический	1962	3	42.2	2025-10-01	1800000.0
Космический	1968	4	16.8	2025-10-01	700000.0
Комсомольская	1980	3	64.4	2025-10-01	3500000.0
Заозерная	1974	8	42.7	2025-10-01	3700000.0
Мельничная	1986	5	32.6	2025-10-01	3120000.0
Багратиона	1981	2	25	2025-10-01	2000000.0
Лермонтова	1983	4	64	2025-10-01	12000000
Луговая	1960	1	37.1	2025-10-01	330000.0
Центральная	1959	1	45.3	2025-10-01	500000.0
Крупской	2015	8	98.6	2025-10-01	14850000.0
Победы		1	46.2	2025-10-01	300000.0
Энтузиастов	1967	3	74.6	2025-10-01	7450000.0
Семашко	2009	1	32.8	2025-10-01	3150000.0
Красный Путь	2015	14	38.3	2025-10-01	5723000.0
Архитекторов	2011	2	67.6	2025-10-01	6400000.0
Магистральная	1961	3	37.4	2025-10-01	850000.0
Космический	2011	10	36.4	2025-10-01	5100000.0
Завертяева	2008	9	52.8	2025-10-01	4550000.0
Чернышевского	2021	17	79.1	2025-10-01	7000000.0
60 лет СССР	1980	1	61.6	2025-10-01	700000.0
Садовая	1968	1	36.1	2025-10-01	900000.0
Мира	1980	4	44	2025-10-01	3950000.0
Комарова	1983	3	130.6	2025-10-01	4130000.0
Конева	1989	3	74.8	2025-10-01	6550000.0
Марьяновская 22-я	1996	5	62.6	2025-10-01	5700000.0
Молодова	1982	9	73.1	2025-10-01	4480000.0
Авиагородок	1977	4	17.6	2025-10-01	1370000.0
Сибирский	1980	2	30	2025-10-01	3400000.0
Бондаренко	1983	1	71.1	2025-10-01	300000.0
1-я Ленинградская	2024	5	71.3	2025-10-01	7440000.0
Серова	1967	4	30.2	2025-10-01	3500000.0
Почтовая	1975	1	65.9	2025-10-01	350000.0
Космический	1963	2	41.6	2025-10-01	3900000.0
Е.А.Стороженко	2016	2	37.1	2025-10-01	3670000.0
Ульяновская подстанция	1975	1	60	2025-10-01	1500000.0
